seed,max_sequence_length,case_name,deviation,lower_bound,upper_bound,exact_bound,runtime,precision,recall,f1,states,status,error_message
79820,25,both_bounds,0.001,0.020999999999999998,0.024,0.022698218800602257,49.614935874938965,0.4596949891067538,0.4245472837022133,0.44142259414225943,2,success,
79820,25,lower_only,0.001,0.020999999999999998,,0.022698218800602257,333.89836597442627,0.34447866256049275,0.3150905432595573,0.3291298865069357,2,success,
79820,25,upper_only,0.001,,0.024,0.022698218800602257,440.97864413261414,0.1753958587088916,0.1738430583501006,0.1746160064672595,2,success,
79820,25,both_bounds,0.002,0.019999999999999997,0.025,0.022698218800602257,48.149738073349,0.354158376442499,0.358148893360161,0.3561424569827931,2,success,
79820,25,lower_only,0.002,0.019999999999999997,,0.022698218800602257,657.946781873703,0.48412333179935574,0.42334004024144867,0.45169600686990125,2,success,
79820,25,upper_only,0.002,,0.025,0.022698218800602257,138.93084716796875,0.14624505928853754,0.1488933601609658,0.14755732801595214,2,success,
79820,25,both_bounds,0.003,0.019,0.026,0.022698218800602257,50.7318320274353,0.4426895306859206,0.39476861167002014,0.41735800893426933,2,success,
79820,25,lower_only,0.003,0.019,,0.022698218800602257,172.4294400215149,0.7811729916214885,0.6378269617706237,0.7022596366858662,2,success,
79820,25,upper_only,0.003,,0.026,0.022698218800602257,137.58985590934753,0.21839080459770116,0.22937625754527163,0.2237487733071639,2,success,
79820,25,both_bounds,0.004,0.018,0.027,0.022698218800602257,50.30078196525574,0.49464668094218417,0.5577464788732395,0.5243048988083979,2,success,
79820,25,lower_only,0.004,0.018,,0.022698218800602257,203.7454490661621,0.1970010341261634,0.1533199195171026,0.17243720298710116,2,success,
79820,25,upper_only,0.004,,0.027,0.022698218800602257,240.03279185295105,0.25493060628195763,0.28088531187122734,0.2672793413746889,2,success,
79820,25,both_bounds,0.005,0.016999999999999998,0.028,0.022698218800602257,48.811517000198364,0.4421860885275519,0.39396378269617705,0.41668440093636944,2,success,
79820,25,lower_only,0.005,0.016999999999999998,,0.022698218800602257,2295.2084019184113,0.950836820083682,0.7315895372233401,0.8269274505344553,2,success,
