seed,max_sequence_length,case_name,deviation,lower_bound,upper_bound,exact_bound,interpretability_case,self_loop_penalty,sink_state_penalty,parallel_edge_penalty,runtime,precision,recall,f1,states,status,error_message
58283,15,both_bounds,,0.059,0.06,0.059095266142350646,parallel_edges,,,0.05,285.76291704177856,0.01823949246629659,0.01869918699186992,0.01846647932557206,3,success,
51338,15,both_bounds,,0.059,0.06,0.05922230306389957,self_loops_and_parallel_edges,0.05,,0.05,196.77509713172913,1.0,0.9991796554552912,0.9995896594173164,3,success,
98846,15,both_bounds,,0.058,0.059,0.05877189943295338,sink_states,,0.05,,850.1183559894562,0.013343799058084773,0.013513513513513514,0.013428120063191154,3,success,
84787,15,both_bounds,,0.058,0.059,0.05873725299980367,parallel_edges,,,0.05,310.6540129184723,0.9975942261427426,0.9865186360031721,0.9920255183413078,3,success,
45,15,both_bounds,,0.058,0.059,0.05848317915670582,sink_states,,0.05,,803.9671559333801,0.0,0.0,0.0,3,success,
58283,15,both_bounds,,0.059,0.06,0.059095266142350646,self_loops_and_sink_states,0.05,0.05,,133.49381804466248,0.950197628458498,0.9772357723577236,0.9635270541082165,3,success,
9471,15,both_bounds,,0.058,0.059,0.058679508944554155,sink_states,,0.05,,887.7267210483551,0.011058451816745656,0.011058451816745656,0.011058451816745656,3,success,
84787,15,both_bounds,,0.058,0.059,0.05873725299980367,self_loops_and_sink_states,0.05,0.05,,65.90965700149536,1.0,1.0,1.0,3,success,
114,15,both_bounds,,0.058,0.059,0.05851782558985552,parallel_edges,,,0.05,171.4162471294403,1.0,0.99765625,0.9988267500977708,3,success,
114,15,both_bounds,,0.058,0.059,0.05851782558985552,self_loops_and_sink_states,0.05,0.05,,6.680388927459717,1.0,0.9984375,0.9992181391712275,3,success,
98846,15,both_bounds,,0.058,0.059,0.05877189943295338,parallel_edges,,,0.05,105.94179821014404,1.0,0.9976152623211447,0.9988062077198567,3,success,
98846,15,both_bounds,,0.058,0.059,0.05877189943295338,self_loops_and_sink_states,0.05,0.05,,101.86719703674316,0.9839871897518014,0.9769475357710652,0.9804547267650578,3,success,
84787,15,both_bounds,,0.058,0.059,0.05873725299980367,self_loops_and_parallel_edges,0.05,,0.05,168.91345810890198,1.0,0.9896907216494846,0.9948186528497409,3,success,
75385,15,both_bounds,,0.058,0.059,0.058344593424106986,sink_states,,0.05,,917.382866859436,0.009433962264150943,0.009266409266409266,0.009349435138293729,3,success,
114,15,both_bounds,,0.058,0.059,0.05851782558985552,self_loops_and_parallel_edges,0.05,,0.05,157.5778169631958,0.9881329113924051,0.97578125,0.9819182389937107,3,success,
9178,15,both_bounds,,0.059,0.06,0.05923385187494947,parallel_edges,,,0.05,538.5285251140594,1.0,0.9942528735632183,0.9971181556195965,3,success,
58283,15,both_bounds,,0.059,0.06,0.059095266142350646,self_loops_and_parallel_edges,0.05,,0.05,216.80223202705383,1.0,0.9991869918699187,0.9995933306222041,3,success,
9471,15,both_bounds,,0.058,0.059,0.058679508944554155,parallel_edges,,,0.05,333.0353548526764,0.5317149569303053,0.5363349131121643,0.5340149429807314,3,success,
