seed,class_a,class_b,num_states,deviation,case_name,lower_bound,upper_bound,exact_bound,runtime,precision,recall,f1,states,status,error_message
87228,0,1,2,,upper_only,,0.11,0.10317460317460317,0.010669946670532227,1.0,1.0,1.0,2,success,
8938,0,1,4,,lower_only,0.1,,0.10317460317460317,0.016189098358154297,1.0,1.0,1.0,4,success,
56085,0,1,3,,upper_only,,0.11,0.10317460317460317,0.012534856796264648,1.0,1.0,1.0,3,success,
69007,0,1,5,,both_bounds,0.1,0.11,0.10317460317460317,0.015146017074584961,1.0,1.0,1.0,5,success,
79820,0,1,2,,upper_only,,0.11,0.10317460317460317,0.015176057815551758,1.0,1.0,1.0,2,success,
79121,0,1,3,,both_bounds,0.1,0.11,0.10317460317460317,0.013194084167480469,1.0,1.0,1.0,3,success,
75385,0,1,3,,lower_only,0.1,,0.10317460317460317,0.012798070907592773,1.0,1.0,1.0,3,success,
70332,0,1,3,,upper_only,,0.11,0.10317460317460317,0.014208078384399414,1.0,1.0,1.0,3,success,
89149,0,1,4,,upper_only,,0.11,0.10317460317460317,0.01331186294555664,1.0,1.0,1.0,4,success,
58283,0,1,3,,lower_only,0.1,,0.10317460317460317,0.013857841491699219,1.0,1.0,1.0,3,success,
72994,0,1,3,,lower_only,0.1,,0.10317460317460317,0.013159036636352539,1.0,1.0,1.0,3,success,
59934,0,1,3,,both_bounds,0.1,0.11,0.10317460317460317,0.01400899887084961,1.0,1.0,1.0,3,success,
114,0,1,3,,lower_only,0.1,,0.10317460317460317,0.013572931289672852,1.0,1.0,1.0,3,success,
93344,0,1,3,,upper_only,,0.11,0.10317460317460317,0.013799905776977539,1.0,1.0,1.0,3,success,
51134,0,1,3,,lower_only,0.1,,0.10317460317460317,0.012427091598510742,1.0,1.0,1.0,3,success,
7239,0,1,2,,upper_only,,0.11,0.10317460317460317,0.012266159057617188,1.0,1.0,1.0,2,success,
65447,0,1,4,,lower_only,0.1,,0.10317460317460317,0.034082889556884766,1.0,1.0,1.0,4,success,
97635,0,1,3,,both_bounds,0.1,0.11,0.10317460317460317,0.019011974334716797,1.0,1.0,1.0,3,success,
85303,0,1,3,,upper_only,,0.11,0.10317460317460317,0.012575864791870117,1.0,1.0,1.0,3,success,
9178,0,1,4,,lower_only,0.1,,0.10317460317460317,0.02232503890991211,1.0,1.0,1.0,4,success,
87228,0,1,3,,both_bounds,0.1,0.11,0.10317460317460317,0.012520074844360352,1.0,1.0,1.0,3,success,
39161,0,1,4,,lower_only,0.1,,0.10317460317460317,0.015069007873535156,1.0,1.0,1.0,4,success,
36624,0,1,4,,lower_only,0.1,,0.10317460317460317,0.014753103256225586,1.0,1.0,1.0,4,success,
98846,0,1,5,,both_bounds,0.1,0.11,0.10317460317460317,0.015049934387207031,1.0,1.0,1.0,5,success,
56085,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.012676000595092773,1.0,1.0,1.0,4,success,
79121,0,1,3,,lower_only,0.1,,0.10317460317460317,0.012907028198242188,1.0,1.0,1.0,3,success,
8938,0,1,4,,upper_only,,0.11,0.10317460317460317,0.016941070556640625,1.0,1.0,1.0,4,success,
75385,0,1,3,,upper_only,,0.11,0.10317460317460317,0.012284994125366211,1.0,1.0,1.0,3,success,
69007,0,1,5,,lower_only,0.1,,0.10317460317460317,0.018146038055419922,1.0,1.0,1.0,5,success,
11298,0,1,3,,lower_only,0.1,,0.10317460317460317,0.03711199760437012,1.0,1.0,1.0,3,success,
58283,0,1,3,,upper_only,,0.11,0.10317460317460317,0.014274120330810547,1.0,1.0,1.0,3,success,
79820,0,1,3,,both_bounds,0.1,0.11,0.10317460317460317,0.0187990665435791,1.0,1.0,1.0,3,success,
72994,0,1,3,,upper_only,,0.11,0.10317460317460317,0.017782211303710938,1.0,0.8571428571428571,0.9230769230769231,3,success,
114,0,1,3,,upper_only,,0.11,0.10317460317460317,0.016643047332763672,1.0,1.0,1.0,3,success,
51134,0,1,3,,upper_only,,0.11,0.10317460317460317,0.01788496971130371,1.0,1.0,1.0,3,success,
29382,0,1,3,,both_bounds,0.1,0.11,0.10317460317460317,0.020061969757080078,1.0,0.7142857142857143,0.8333333333333334,3,success,
7239,0,1,3,,both_bounds,0.1,0.11,0.10317460317460317,0.01240086555480957,1.0,1.0,1.0,3,success,
70332,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.013677120208740234,1.0,1.0,1.0,4,success,
93344,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.015425920486450195,1.0,1.0,1.0,4,success,
87228,0,1,3,,lower_only,0.1,,0.10317460317460317,0.012791156768798828,1.0,1.0,1.0,3,success,
89149,0,1,5,,both_bounds,0.1,0.11,0.10317460317460317,0.015189170837402344,1.0,1.0,1.0,5,success,
65447,0,1,4,,upper_only,,0.11,0.10317460317460317,0.013411998748779297,1.0,1.0,1.0,4,success,
85303,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.012856006622314453,0.75,0.8571428571428571,0.8,4,success,
59934,0,1,3,,lower_only,0.1,,0.10317460317460317,0.02789592742919922,1.0,1.0,1.0,3,success,
39161,0,1,4,,upper_only,,0.11,0.10317460317460317,0.014304161071777344,1.0,1.0,1.0,4,success,
97635,0,1,3,,lower_only,0.1,,0.10317460317460317,0.018978118896484375,1.0,1.0,1.0,3,success,
36624,0,1,4,,upper_only,,0.11,0.10317460317460317,0.018028974533081055,1.0,1.0,1.0,4,success,
79121,0,1,3,,upper_only,,0.11,0.10317460317460317,0.014065027236938477,1.0,0.8571428571428571,0.9230769230769231,3,success,
56085,0,1,4,,lower_only,0.1,,0.10317460317460317,0.014714956283569336,1.0,1.0,1.0,4,success,
9178,0,1,4,,upper_only,,0.11,0.10317460317460317,0.014716148376464844,1.0,1.0,1.0,4,success,
75385,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.01205301284790039,1.0,1.0,1.0,4,success,
98846,0,1,5,,lower_only,0.1,,0.10317460317460317,0.017889022827148438,1.0,1.0,1.0,5,success,
79820,0,1,3,,lower_only,0.1,,0.10317460317460317,0.013165950775146484,1.0,1.0,1.0,3,success,
11298,0,1,3,,upper_only,,0.11,0.10317460317460317,0.018088102340698242,1.0,1.0,1.0,3,success,
72994,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.012269973754882812,1.0,0.8571428571428571,0.9230769230769231,4,success,
114,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.01221609115600586,1.0,0.8571428571428571,0.9230769230769231,4,success,
58283,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.012568950653076172,1.0,0.8571428571428571,0.9230769230769231,4,success,
87228,0,1,3,,upper_only,,0.11,0.10317460317460317,0.013486862182617188,1.0,1.0,1.0,3,success,
7239,0,1,3,,lower_only,0.1,,0.10317460317460317,0.013904809951782227,1.0,1.0,1.0,3,success,
51134,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.015398025512695312,1.0,1.0,1.0,4,success,
93344,0,1,4,,lower_only,0.1,,0.10317460317460317,0.013936996459960938,1.0,1.0,1.0,4,success,
69007,0,1,5,,upper_only,,0.11,0.10317460317460317,0.02092885971069336,1.0,1.0,1.0,5,success,
8938,0,1,5,,both_bounds,0.1,0.11,0.10317460317460317,0.017078161239624023,1.0,1.0,1.0,5,success,
70332,0,1,4,,lower_only,0.1,,0.10317460317460317,0.015067100524902344,1.0,1.0,1.0,4,success,
85303,0,1,4,,lower_only,0.1,,0.10317460317460317,0.014067888259887695,1.0,1.0,1.0,4,success,
89149,0,1,5,,lower_only,0.1,,0.10317460317460317,0.019162893295288086,1.0,1.0,1.0,5,success,
97635,0,1,3,,upper_only,,0.11,0.10317460317460317,0.014602899551391602,1.0,0.8571428571428571,0.9230769230769231,3,success,
79121,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.012405872344970703,1.0,1.0,1.0,4,success,
29382,0,1,3,,lower_only,0.1,,0.10317460317460317,0.016471147537231445,1.0,1.0,1.0,3,success,
65447,0,1,5,,both_bounds,0.1,0.11,0.10317460317460317,0.019674062728881836,1.0,1.0,1.0,5,success,
79820,0,1,3,,upper_only,,0.11,0.10317460317460317,0.014113903045654297,1.0,0.7142857142857143,0.8333333333333334,3,success,
56085,0,1,4,,upper_only,,0.11,0.10317460317460317,0.01367807388305664,1.0,1.0,1.0,4,success,
59934,0,1,3,,upper_only,,0.11,0.10317460317460317,0.014139890670776367,1.0,1.0,1.0,3,success,
75385,0,1,4,,lower_only,0.1,,0.10317460317460317,0.014534950256347656,1.0,1.0,1.0,4,success,
11298,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.0124359130859375,1.0,1.0,1.0,4,success,
7239,0,1,3,,upper_only,,0.11,0.10317460317460317,0.01306605339050293,1.0,1.0,1.0,3,success,
72994,0,1,4,,lower_only,0.1,,0.10317460317460317,0.014486074447631836,1.0,0.8571428571428571,0.9230769230769231,4,success,
39161,0,1,5,,both_bounds,0.1,0.11,0.10317460317460317,0.01685500144958496,1.0,1.0,1.0,5,success,
36624,0,1,5,,both_bounds,0.1,0.11,0.10317460317460317,0.017248868942260742,1.0,1.0,1.0,5,success,
114,0,1,4,,lower_only,0.1,,0.10317460317460317,0.014197111129760742,1.0,1.0,1.0,4,success,
87228,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.012141942977905273,1.0,1.0,1.0,4,success,
58283,0,1,4,,lower_only,0.1,,0.10317460317460317,0.014739990234375,1.0,1.0,1.0,4,success,
98846,0,1,5,,upper_only,,0.11,0.10317460317460317,0.01758885383605957,1.0,1.0,1.0,5,success,
51134,0,1,4,,lower_only,0.1,,0.10317460317460317,0.013576030731201172,1.0,1.0,1.0,4,success,
93344,0,1,4,,upper_only,,0.11,0.10317460317460317,0.015964984893798828,1.0,1.0,1.0,4,success,
9178,0,1,5,,both_bounds,0.1,0.11,0.10317460317460317,0.017640113830566406,1.0,1.0,1.0,5,success,
85303,0,1,4,,upper_only,,0.11,0.10317460317460317,0.01335906982421875,1.0,1.0,1.0,4,success,
97635,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.012905120849609375,1.0,1.0,1.0,4,success,
69007,0,1,6,,both_bounds,0.1,0.11,0.10317460317460317,0.018246173858642578,1.0,1.0,1.0,6,success,
79121,0,1,4,,lower_only,0.1,,0.10317460317460317,0.014759063720703125,1.0,1.0,1.0,4,success,
79820,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.012135028839111328,1.0,1.0,1.0,4,success,
75385,0,1,4,,upper_only,,0.11,0.10317460317460317,0.013520956039428711,1.0,1.0,1.0,4,success,
8938,0,1,5,,lower_only,0.1,,0.10317460317460317,0.018756866455078125,1.0,1.0,1.0,5,success,
89149,0,1,5,,upper_only,,0.11,0.10317460317460317,0.01726078987121582,1.0,0.5714285714285714,0.7272727272727273,5,success,
11298,0,1,4,,lower_only,0.1,,0.10317460317460317,0.014589071273803711,1.0,1.0,1.0,4,success,
29382,0,1,3,,upper_only,,0.11,0.10317460317460317,0.018270015716552734,1.0,0.7142857142857143,0.8333333333333334,3,success,
70332,0,1,4,,upper_only,,0.11,0.10317460317460317,0.032205820083618164,1.0,1.0,1.0,4,success,
56085,0,1,5,,both_bounds,0.1,0.11,0.10317460317460317,0.015443086624145508,1.0,1.0,1.0,5,success,
7239,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.012494802474975586,1.0,1.0,1.0,4,success,
